n,ops-best,ops-average,ops-worst
5,98,98,98
6,98,98,98
7,98,98,98
8,98,98,98
9,98,98,98
10,98,98,98
11,98,98,98
12,98,98,98
13,98,98,98
14,98,98,98
15,98,98,98
16,98,98,98
17,98,98,98
18,98,98,98
19,98,98,98
20,98,98,98
21,98,98,98
22,98,98,98
23,98,98,98
24,98,98,98
25,98,98,98
26,98,98,98
27,98,98,98
28,98,98,98
29,98,98,98
30,98,98,98
31,98,98,98
32,98,98,98
33,98,98,98
34,98,98,98
35,98,98,98
36,98,98,98
37,98,98,98
38,98,98,98
39,98,98,98
40,98,98,98
41,98,98,98
42,98,98,98
43,98,98,98
44,98,98,98
45,98,98,98
46,98,98,98
47,98,98,98
48,98,98,98
49,98,98,98
50,98,98,98
51,98,98,98
52,98,98,98
53,98,98,98
54,98,98,98
55,98,98,98
56,98,98,98
57,98,98,98
58,98,98,98
59,98,98,98
60,98,98,98
61,98,98,98
62,98,98,98
63,98,98,98
64,98,98,98
65,98,98,98
66,98,98,98
67,98,98,98
68,98,98,98
69,98,98,98
70,98,98,98
71,98,98,98
72,98,98,98
73,98,98,98
74,98,98,98
75,98,98,98
76,98,98,98
77,98,98,98
78,98,98,98
79,98,98,98
80,98,98,98
81,98,98,98
82,98,98,98
83,98,98,98
84,98,98,98
85,98,98,98
86,98,98,98
87,98,98,98
88,98,98,98
89,98,98,98
90,98,98,98
91,98,98,98
92,98,98,98
93,98,98,98
94,98,98,98
95,98,98,98
96,98,98,98
97,98,98,98
98,98,98,98
99,98,98,98
