n,ops-best,ops-average,ops-worst
5,2,5,4
6,2,4,5
7,2,7,6
8,2,4,7
9,2,7,8
10,2,6,9
11,2,7,10
12,2,10,11
13,2,8,12
14,2,11,13
15,2,14,14
16,2,12,15
17,2,12,16
18,2,15,17
19,2,12,18
20,2,9,19
21,2,11,15
22,2,10,21
23,2,18,22
24,2,16,23
25,2,4,24
26,2,2,25
27,2,24,26
28,2,5,27
29,2,15,28
30,2,5,29
31,2,22,30
32,2,28,31
33,2,11,32
34,2,34,33
35,2,23,34
36,2,29,35
37,2,17,36
38,2,17,37
39,2,36,38
40,2,26,39
41,2,10,40
42,2,10,41
43,2,17,42
44,2,38,43
45,2,35,44
46,2,5,45
47,2,39,46
48,2,31,47
49,2,11,48
50,2,11,49
51,2,43,50
52,2,27,51
53,2,52,52
54,2,17,53
55,2,55,54
56,2,35,55
57,2,23,56
58,2,19,57
59,2,35,58
60,2,12,59
61,2,24,60
62,2,46,61
63,2,31,62
64,2,43,63
65,2,10,64
66,2,38,65
67,2,29,66
68,2,19,67
69,2,55,68
70,2,6,69
71,2,15,70
72,2,25,71
73,2,54,72
74,2,63,73
75,2,72,74
76,2,48,75
77,2,42,76
78,2,65,77
79,2,8,78
80,2,33,79
81,2,30,80
82,2,3,81
83,2,30,82
84,2,83,83
85,2,29,84
86,2,14,85
87,2,60,86
88,2,57,87
89,2,3,88
90,2,72,89
91,2,27,90
92,2,19,91
93,2,72,92
94,2,52,93
95,2,55,94
96,2,50,95
97,2,96,96
98,2,70,97
99,2,9,98
