n,ops-best,ops-average,ops-worst
5,11,13,17
6,16,24,26
7,22,29,37
8,29,42,50
9,37,49,58
10,46,64,82
11,56,81,101
12,67,85,122
13,79,101,145
14,92,135,170
15,106,165,197
16,121,173,226
17,137,205,253
18,154,235,283
19,172,253,325
20,191,261,362
21,211,299,401
22,232,342,442
23,254,377,485
24,277,364,530
25,301,454,577
26,326,430,626
27,352,509,677
28,379,570,730
29,407,581,766
30,436,626,842
31,466,665,901
32,497,723,962
33,529,754,1025
34,562,804,1090
35,596,822,1138
36,631,953,1226
37,667,1014,1297
38,704,1056,1370
39,742,1200,1445
40,781,1165,1522
41,821,1188,1601
42,862,1286,1682
43,904,1400,1765
44,947,1365,1808
45,991,1456,1931
46,1036,1607,2016
47,1082,1607,2094
48,1129,1634,2210
49,1177,1797,2282
50,1226,1760,2402
51,1276,1845,2501
52,1327,1961,2543
53,1379,2086,2705
54,1432,2185,2771
55,1486,2219,2915
56,1541,2287,2997
57,1597,2273,3037
58,1654,2416,3250
59,1712,2612,3343
60,1771,2684,3482
61,1831,2837,3574
62,1892,2797,3687
63,1954,2793,3845
64,2017,3164,3944
65,2081,2893,4086
66,2146,3041,4226
67,2212,3399,4326
68,2279,3376,4490
69,2347,3479,4625
70,2416,3590,4721
71,2486,3660,4852
72,2557,3639,4942
73,2629,3900,5185
74,2702,4104,5330
75,2776,3927,5477
76,2851,4169,5495
77,2927,4490,5692
78,3004,4596,5930
79,3082,4704,6085
80,3161,4776,6170
81,3241,4816,6366
82,3322,5041,6506
83,3404,5201,6725
84,3487,5278,6834
85,3571,5259,7057
86,3656,5617,7153
87,3742,5594,7397
88,3829,5655,7570
89,3917,5897,7745
90,4006,6037,7850
91,4096,6181,8101
92,4187,6290,8276
93,4279,6127,8406
94,4372,6378,8536
95,4466,6798,8802
96,4561,6887,8966
97,4657,6935,9164
98,4754,7278,9410
99,4852,7235,9554
