n,ops-best,ops-average,ops-worst
5,5,21,24
6,6,30,30
7,7,36,48
8,8,51,63
9,9,69,78
10,10,80,99
11,11,84,120
12,12,115,143
13,13,124,168
14,14,153,195
15,15,175,224
16,16,217,255
17,17,238,288
18,18,218,323
19,19,284,348
20,20,301,385
21,21,328,440
22,22,360,483
23,23,23,528
24,24,465,575
25,25,486,622
26,26,541,675
27,27,603,728
28,28,587,783
29,29,637,840
30,30,671,899
31,31,732,952
32,32,720,1018
33,33,876,1088
34,34,34,1123
35,35,945,1202
36,36,962,1295
37,37,1059,1368
38,38,1095,1443
39,39,1203,1479
40,40,1192,1599
41,41,1229,1680
42,42,1331,1744
43,43,1385,1838
44,44,1452,1935
45,45,1506,2011
46,46,1740,2115
47,47,1652,2200
48,48,1721,2303
49,49,1839,2380
50,50,1872,2466
51,51,1908,2600
52,52,2027,2703
53,53,2076,2808
54,54,2166,2915
55,55,55,3024
56,56,2468,3089
57,57,2551,3234
58,58,2595,3363
59,59,2646,3421
60,60,2637,3564
61,61,2744,3720
62,62,2810,3843
63,63,3090,3968
64,64,128,4095
65,65,3322,4185
66,66,3312,4355
67,67,3474,4427
68,68,3452,4606
69,69,3639,4727
70,70,70,4899
71,71,3773,5040
72,72,3948,5134
73,73,4137,5261
74,74,4022,5424
75,75,4266,5624
76,76,4294,5737
77,77,4491,5812
78,78,4614,6083
79,79,4645,6240
80,80,4837,6394
81,81,4894,6560
82,82,5059,6723
83,83,5433,6758
84,84,5106,7006
85,85,5486,7130
86,86,5355,7395
87,87,5512,7466
88,88,5891,7743
89,89,5991,7884
90,90,6064,8050
91,91,6126,8216
92,92,6614,8463
93,93,6568,8648
94,94,6724,8646
95,95,6904,9024
96,96,7102,9215
97,97,7012,9327
98,98,7102,9603
99,99,7646,9762
