n.ops,count,Linear,Quadratic,Log,Log-linear,Exponential
5,40,8,1.6,57.22706232,11.44541246,1.25
6,57,9.5,1.583333333,73.25054091,12.20842348,0.890625
7,77,11,1.571428571,91.11368901,13.01624129,0.6015625
8,100,12.5,1.5625,110.7309365,13.84136706,0.390625
9,126,14,1.555555556,132.0419063,14.67132292,0.24609375
10,155,15.5,1.55,155,15.5,0.151367188
11,187,17,1.545454545,179.5672302,16.32429365,0.091308594
12,222,18.5,1.541666667,205.7115066,17.14262555,0.054199219
13,260,20,1.538461538,233.4050466,17.95423435,0.031738281
14,301,21.5,1.535714286,262.6233637,18.7588117,0.018371582
15,345,23,1.533333333,293.344583,19.55630554,0.010528564
16,392,24.5,1.53125,325.5489533,20.34680958,0.005981445
17,442,26,1.529411765,359.2184871,21.13049924,0.003372192
18,495,27.5,1.527777778,394.3366862,21.90759368,0.001888275
19,551,29,1.526315789,430.8883272,22.67833301,0.001050949
20,610,30.5,1.525,468.85929,23.4429645,0.000581741
21,672,32,1.523809524,508.2364194,24.20173426,0.000320435
22,737,33.5,1.522727273,549.0074107,24.9548823,0.000175714
23,805,35,1.52173913,591.1607141,25.70263975,9.59635E-05
24,876,36.5,1.520833333,634.685455,26.44522729,5.22137E-05
25,950,38,1.52,679.5713651,27.1828546,2.83122E-05
26,1027,39.5,1.519230769,725.8087239,27.91572015,1.53035E-05
27,1107,41,1.518518519,773.3883082,28.64401142,8.24779E-06
28,1190,42.5,1.517857143,822.301348,29.36790529,4.4331E-06
29,1276,44,1.517241379,872.5394878,30.08756854,2.37674E-06
30,1365,45.5,1.516666667,924.0947523,30.80315841,1.27126E-06
31,1457,47,1.516129032,976.9595169,31.51482313,6.78468E-07
32,1552,48.5,1.515625,1031.126481,32.22270252,3.61353E-07
33,1650,50,1.515151515,1086.588642,32.92692855,1.92085E-07
34,1751,51.5,1.514705882,1143.339278,33.62762584,1.01922E-07
35,1855,53,1.514285714,1201.371926,34.32491217,5.39876E-08
36,1962,54.5,1.513888889,1260.680362,35.01889894,2.85509E-08
37,2072,56,1.513513514,1321.258591,35.70969164,1.50758E-08
38,2185,57.5,1.513157895,1383.100828,36.3973902,7.94898E-09
39,2301,59,1.512820513,1446.201487,37.0820894,4.18549E-09
40,2420,60.5,1.5125,1510.555168,37.76387921,2.20098E-09
41,2542,62,1.512195122,1576.15665,38.44284511,1.15597E-09
42,2667,63.5,1.511904762,1643.000872,39.11906839,6.06406E-10
43,2795,65,1.511627907,1711.082935,39.79262641,3.17755E-10
44,2926,66.5,1.511363636,1780.398086,40.46359287,1.66324E-10
