n,ops-best,ops-average,ops-worst
5,25,30,31
6,33,37,42
7,42,47,54
8,52,61,68
9,63,72,83
10,75,86,100
11,88,106,118
12,102,120,138
13,117,135,159
14,133,154,182
15,150,169,206
16,168,192,232
17,187,213,259
18,207,243,288
19,228,256,318
20,250,284,343
21,273,308,383
22,297,337,418
23,322,363,454
24,348,391,492
25,375,424,531
26,403,452,559
27,432,485,614
28,462,519,658
29,493,556,703
30,525,596,750
31,558,615,798
32,592,671,848
33,627,706,899
34,663,744,945
35,700,785,1006
36,738,811,1052
37,777,851,1109
38,817,905,1178
39,858,951,1238
40,900,997,1295
41,943,1044,1363
42,987,1075,1428
43,1032,1154,1494
44,1078,1180,1523
45,1125,1229,1631
46,1173,1272,1702
47,1222,1335,1754
48,1272,1396,1848
49,1323,1444,1923
50,1375,1525,1990
51,1428,1570,2065
52,1482,1619,2138
53,1537,1697,2239
54,1593,1741,2322
55,1650,1804,2401
56,1708,1854,2476
57,1767,1926,2579
58,1827,1992,2663
59,1888,2078,2758
60,1950,2113,2850
61,2013,2209,2943
62,2077,2242,3038
63,2142,2319,3134
64,2208,2394,3232
65,2275,2449,3309
66,2343,2529,3432
67,2412,2586,3534
68,2482,2676,3616
69,2553,2724,3732
70,2625,2808,3817
71,2698,2893,3958
72,2772,2991,4068
73,2847,3043,4160
74,2923,3139,4265
75,3000,3221,4406
76,3078,3297,4522
77,3157,3370,4620
78,3237,3458,4694
79,3318,3568,4878
80,3400,3628,5000
81,3483,3709,5068
82,3567,3836,5248
83,3652,3896,5374
84,3738,4017,5476
85,3825,4090,5608
86,3913,4185,5734
87,4002,4244,5836
88,4092,4364,6001
89,4183,4436,6092
90,4275,4578,6300
91,4368,4657,6438
92,4462,4760,6578
93,4557,4813,6657
94,4653,4952,6838
95,4750,5027,6963
96,4848,5128,7089
97,4947,5246,7254
98,5047,5343,7448
99,5148,5486,7563
