n,ops-best,ops-average,ops-worst,A log,W log,A Quad,W Quad,A lin,W lin
5,1,2,3,16.60964047,10.47951637,0.08,0.12,2.5,1.666666667
6,1,3,3,12.57541965,12.57541965,0.083333333,0.083333333,2,2
7,1,1,3,#DIV/0!,14.67132292,0.020408163,0.06122449,7,2.333333333
8,1,3,3,16.76722619,16.76722619,0.046875,0.046875,2.666666667,2.666666667
9,1,3,4,18.86312947,14.94867643,0.037037037,0.049382716,3,2.25
10,1,3,4,20.95903274,16.60964047,0.03,0.04,3.333333333,2.5
11,1,3,4,23.05493602,18.27060452,0.024793388,0.033057851,3.666666667,2.75
12,1,3,3,25.15083929,25.15083929,0.020833333,0.020833333,4,4
13,1,3,4,27.24674257,21.59253262,0.017751479,0.023668639,4.333333333,3.25
14,1,4,4,23.25349666,23.25349666,0.020408163,0.020408163,3.5,3.5
15,1,4,4,24.91446071,24.91446071,0.017777778,0.017777778,3.75,3.75
16,1,4,5,26.57542476,22.89082493,0.015625,0.01953125,4,3.2
17,1,4,4,28.23638881,28.23638881,0.01384083,0.01384083,4.25,4.25
18,1,5,4,25.75217805,29.89735285,0.015432099,0.012345679,3.6,4.5
19,1,4,4,31.5583169,31.5583169,0.011080332,0.011080332,4.75,4.75
20,1,4,4,33.21928095,33.21928095,0.01,0.01,5,5
21,1,5,4,30.04420772,34.880245,0.011337868,0.009070295,4.2,5.25
22,1,4,4,36.54120904,36.54120904,0.008264463,0.008264463,5.5,5.5
23,1,5,5,32.90556084,32.90556084,0.009451796,0.009451796,4.6,4.6
24,1,5,4,34.33623739,39.86313714,0.008680556,0.006944444,4.8,6
25,1,5,4,35.76691395,41.52410119,0.008,0.0064,5,6.25
26,1,5,5,37.19759051,37.19759051,0.00739645,0.00739645,5.2,5.2
27,1,2,4,89.69205856,44.84602928,0.002743484,0.005486968,13.5,6.75
28,1,5,5,40.05894363,40.05894363,0.006377551,0.006377551,5.6,5.6
29,1,5,5,41.48962018,41.48962018,0.005945303,0.005945303,5.8,5.8
30,1,4,5,49.82892142,42.92029674,0.004444444,0.005555556,7.5,6
31,1,5,5,44.3509733,44.3509733,0.005202914,0.005202914,6.2,6.2
32,1,5,6,45.78164986,41.12311069,0.004882813,0.005859375,6.4,5.333333333
