n,ops-best,ops-average,ops-worst,Best Log,Best Qua,Best Lin,Avg Log,Avg Qua,Avg Lin,Worst log,Worst Qua,Worst Lin
5,11,12,17,15.73744214,0.444444444,2.2,17.1681187,0.48,0.416666667,4.063557546,0.68,0.294117647
6,16,20,26,20.56155534,0.448979592,2.666666667,25.70194418,0.555555556,0.3,4.240362554,0.722222222,0.230769231
7,22,29,37,26.03248257,0.453125,3.142857143,34.31554521,0.591836735,0.24137931,4.463711455,0.755102041,0.189189189
8,29,40,50,32.11197158,0.456790123,3.625,44.2923746,0.625,0.2,4.708735281,0.78125,0.16
9,37,53,65,38.77421057,0.46,4.111111111,55.54143677,0.654320988,0.169811321,4.964385069,0.802469136,0.138461538
10,46,65,82,46,0.462809917,4.6,65,0.65,0.153846154,5.225168575,0.82,0.12195122
11,56,72,101,53.7741438,0.465277778,5.090909091,69.13818488,0.595041322,0.152777778,5.488141844,0.834710744,0.108910891
12,67,100,122,62.08410334,0.467455621,5.583333333,92.6628408,0.694444444,0.12,5.751644478,0.847222222,0.098360656
13,79,120,145,70.91922568,0.469387755,6.076923077,107.7254061,0.710059172,0.108333333,6.014709196,0.857988166,0.089655172
14,92,136,170,80.270264,0.471111111,6.571428571,118.6603903,0.693877551,0.102941176,6.27676333,0.867346939,0.082352941
15,106,168,197,90.1290603,0.47265625,7.066666667,142.8460578,0.746666667,0.089285714,6.537468205,0.875555556,0.076142132
16,121,163,226,100.4883249,0.474048443,7.5625,135.3685699,0.63671875,0.098159509,6.796628284,0.8828125,0.07079646
17,137,186,257,111.3414768,0.475308642,8.058823529,151.1643407,0.643598616,0.091397849,7.054137659,0.889273356,0.06614786
18,154,240,290,122.6825246,0.476454294,8.555555556,191.1935448,0.740740741,0.075,7.309947464,0.895061728,0.062068966
19,172,246,325,134.5059751,0.4775,9.052631579,192.3748248,0.681440443,0.077235772,7.564045487,0.900277008,0.058461538
20,191,259,362,146.8067613,0.47845805,9.55,199.0730428,0.6475,0.077220077,7.816443119,0.905,0.055248619
21,211,345,397,159.5801853,0.479338843,10.04761905,260.9249475,0.782312925,0.060869565,8.080682127,0.900226757,0.052896725
22,232,324,442,172.8218715,0.480151229,10.54545455,241.3546826,0.669421488,0.067901235,8.316252666,0.91322314,0.049773756
23,254,343,464,186.5277284,0.480902778,11.04347826,251.8858695,0.648393195,0.067055394,8.625480933,0.877126654,0.049568966
24,277,421,530,200.6939167,0.4816,11.54166667,305.0257723,0.730902778,0.057007126,8.809680498,0.920138889,0.045283019
25,301,434,566,215.316822,0.482248521,12.04,310.4568131,0.6944,0.057603687,9.0816081,0.9056,0.044169611
26,326,479,623,230.3930321,0.482853224,12.53846154,338.5222772,0.708579882,0.054279749,9.304029778,0.921597633,0.041733547
27,352,565,670,245.9193175,0.483418367,13.03703704,394.72845,0.775034294,0.047787611,9.553887241,0.919067215,0.040298507
28,379,497,730,261.8926142,0.483947681,13.53571429,343.4317395,0.633928571,0.056338028,9.778848341,0.931122449,0.038356164
29,407,616,758,278.310009,0.484444444,14.03448276,421.2259596,0.732461356,0.047077922,10.07060115,0.901307967,0.038258575
30,436,636,842,295.1687267,0.48491155,14.53333333,430.5672252,0.706666667,0.047169811,10.25531604,0.935555556,0.035629454
