n,ops-best,ops-average,ops-worst,Best Lin,Avg Lin,Worst Lin,Best Qua,Avg Qua,Worst Qua,Best log,Avg LOG,Worst log
5,5,22,24,1,0.227272727,0.208333333,0.2,0.88,0.96,7.15338279,3.724609299,3.622633876
6,6,25,35,1,0.24,0.171428571,0.166666667,0.694444444,0.972222222,7.710583254,4.292029674,3.885839113
7,7,14,48,1,0.5,0.145833333,0.142857143,0.285714286,0.979591837,8.283062637,6.107520087,4.163590474
8,8,8,63,1,1,0.126984127,0.125,0.125,0.984375,8.85847492,8.85847492,4.446073314
9,9,55,80,1,0.163636364,0.1125,0.111111111,0.679012346,0.987654321,9.431564734,5.171335868,4.729151045
10,10,76,99,1,0.131578947,0.101010101,0.1,0.76,0.99,10,5.316848007,5.01093588
11,11,83,120,1,0.13253012,0.091666667,0.090909091,0.685950413,0.991735537,10.56277825,5.731918906,5.290544064
12,12,95,143,1,0.126315789,0.083916084,0.083333333,0.659722222,0.993055556,11.1195409,6.067581925,5.567577302
13,13,120,168,1,0.108333333,0.077380952,0.076923077,0.710059172,0.99408284,11.67025233,6.252461167,5.84188459
14,14,156,195,1,0.08974359,0.071794872,0.071428571,0.795918367,0.994897959,12.21504017,6.383586236,6.113444718
15,15,178,224,1,0.084269663,0.066964286,0.066666667,0.791111111,0.995555556,12.75411231,6.665422448,6.382305137
16,16,204,255,1,0.078431373,0.062745098,0.0625,0.796875,0.99609375,13.28771238,6.927516026,6.648548871
17,17,230,288,1,0.073913043,0.059027778,0.058823529,0.795847751,0.996539792,13.81609566,7.198119843,6.912276135
18,18,262,323,1,0.06870229,0.055727554,0.055555556,0.808641975,0.99691358,14.33951586,7.44324128,7.173593937
19,19,316,360,1,0.060126582,0.052777778,0.052631579,0.87534626,0.997229917,14.85821818,7.600951388,7.432610184
20,20,295,399,1,0.06779661,0.050125313,0.05,0.7375,0.9975,15.37243574,8.097749502,7.689430379
21,21,340,440,1,0.061764706,0.047727273,0.047619048,0.770975057,0.997732426,15.88238811,8.295546077,7.944155833
22,22,365,483,1,0.060273973,0.045548654,0.045454545,0.754132231,0.997933884,16.38828092,8.586059894,8.196882773
23,23,414,528,1,0.055555556,0.043560606,0.043478261,0.782608696,0.998109641,16.89030612,8.788688193,8.447701988
24,24,428,575,1,0.056074766,0.04173913,0.041666667,0.743055556,0.998263889,17.3886426,9.120468498,8.696698788
25,25,472,624,1,0.052966102,0.040064103,0.04,0.7552,0.9984,17.88345698,9.349492253,8.943953144
26,26,526,662,1,0.049429658,0.039274924,0.038461538,0.778106509,0.979289941,18.3749044,9.55536061,9.217053853
27,27,566,728,1,0.04770318,0.037087912,0.037037037,0.776406036,0.998628258,18.86312947,9.808136748,9.433529221
28,28,581,783,1,0.048192771,0.035759898,0.035714286,0.741071429,0.99872449,19.34826701,10.12960052,9.675986589
29,29,662,840,1,0.043806647,0.03452381,0.034482759,0.787158145,0.998810939,19.8304429,10.28056007,9.916973436
30,30,716,879,1,0.041899441,0.034129693,0.033333333,0.795555556,0.976666667,20.30977478,10.50820104,10.1902559
31,31,715,960,1,0.043356643,0.032291667,0.032258065,0.744016649,0.998959417,20.7863727,10.86078351,10.3947621
32,32,747,1020,1,0.042838019,0.031372549,0.03125,0.729492188,0.99609375,21.26033981,11.1369403,10.63617569
33,33,859,1088,1,0.038416764,0.030330882,0.03030303,0.788797062,0.999081726,21.73177284,11.24746997,10.8673141
34,34,863,1130,1,0.039397451,0.030088496,0.029411765,0.746539792,0.977508651,22.20076269,11.58033889,11.13630083
35,35,885,1204,1,0.039548023,0.029069767,0.028571429,0.72244898,0.982857143,22.66739483,11.87671319,11.36132542
36,36,958,1295,1,0.037578288,0.027799228,0.027777778,0.739197531,0.999228395,23.13174976,12.07500385,11.56712068
37,37,989,1368,1,0.037411527,0.027046784,0.027027027,0.722425128,0.99926954,23.59390341,12.35311359,11.79814548
38,38,1097,1443,1,0.034639927,0.026334026,0.026315789,0.759695291,0.999307479,24.05392744,12.49915044,12.02810907
39,39,1120,1510,1,0.034821429,0.025827815,0.025641026,0.736357659,0.992767916,24.5118896,12.79016447,12.26809777
40,40,1092,1558,1,0.036630037,0.025673941,0.025,0.6825,0.97375,24.96785402,13.16559211,12.52910098
41,41,1343,1651,1,0.030528667,0.024833434,0.024390244,0.798929209,0.98215348,25.42188144,13.10709837,12.74183429
42,42,1382,1763,1,0.030390738,0.023823029,0.023809524,0.783446712,0.999433107,25.87402948,13.37363236,12.93799618
43,43,1329,1848,1,0.032355154,0.023268398,0.023255814,0.718766901,0.999459167,26.32435285,13.76649787,13.16312306
44,44,1426,1935,1,0.03085554,0.022739018,0.022727273,0.736570248,0.999483471,26.77290355,13.95001034,13.38736568
45,45,1483,1977,1,0.030343898,0.02276176,0.022222222,0.732345679,0.976296296,27.21973105,14.19047524,13.652885
46,46,1531,2115,1,0.030045722,0.021749409,0.02173913,0.723534972,0.99952741,27.66488248,14.44281266,13.8332952
47,47,1737,2208,1,0.027058146,0.021286232,0.021276596,0.786328656,0.999547306,28.10840273,14.50706915,14.05502784
48,48,1708,2256,1,0.028103044,0.021276596,0.020833333,0.741319444,0.979166667,28.55033468,14.84924367,14.31409071
49,49,1843,2400,1,0.026587086,0.020416667,0.020408163,0.767596835,0.999583507,28.99071923,15.00524264,14.49613545
